label,slug,title,discountPrice,soldQuantity,quantity,brand,series,totalRating,features,color,Năm ra mắt,Xuất xứ,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Mô tả ram,Ổ cứng,Dung lượng ổ cứng,Tần số quét,Chất liệu tấm nền,Kích thước màn hình,Công nghệ màn hình,Độ phân giải màn hình,Công nghệ âm thanh,Chất liệu,Kích thước,Trọng lượng,Tính năng đặc biệt,Loại đèn bàn phím,Bảo mật,Webcam,Hệ điều hành,Pin,Wi-Fi,Bluetooth,Cổng giao tiếp
Văn phòng,laptop-asus-vivobook-14-x1404za-nk389w,Laptop ASUS Vivobook 14 X1404ZA-NK389W,15790000,30,10,asus,vivobook,3.6,"Thiết kế màu bạc sang trọng, thanh lịch với kiểu dáng mỏng nhẹ dễ dàng mang theo RAM 16GB DDR4 hỗ trợ đa nhiệm mượt mà, chạy nhiều ứng dụng cùng lúc Ổ cứng SSD PCIe 512GB tốc độ cao giúp khởi động máy và truy cập dữ liệu nhanh chóng Vi xử lý Intel Core i7-1255U thế hệ 12 mới nhất cho hiệu năng đa nhiệm ấn tượng",Bạc,2021,Singapore,Intel Iris Xe Graphics,"Intel Core i7-1255U (1.7 GHz, 12M Cache, up to 4.7 GHz, 10 lõi)",16GB,DDR4,16GB DDR4,512GB M.2 NVMe PCIe 3.0 SSD,512GB,60 Hz,,14 inches,LED Backlit  Độ sáng 250 nits Màn hình chống chói  Độ phủ màu 45% NTSCTÜV Rheinland-certified,1920 x 1080 pixels (FullHD),SonicMaster  Loa tích hợp Micrô mảng tích hợp,Vỏ nhựa,32.49 x 21.39 x 1.79 ~ 1.79 cm (W x H x D),1.40 kg,"Wi-Fi 6, Bảo mật vân tay",,McAfee dùng thử miễn phí 30 ngày  Cảm biến vân tay tích hợp Touchpad McAfee BIOS Booting User Password Protection BIOS setup user password Mô-đun nền tảng đáng tin cậy (Firmware TPM),,Windows 11 Home,"42WHrs, 3S1P, 3-cell Li-ion",Wi-Fi 6E(802.11ax) (Dual band) 1*1,Bluetooth 5.3,1x USB 2.0 Type-A  1x USB 3.2 Gen 1 Type-C  2x USB 3.2 Gen 1 Type-A  1x HDMI 1.4  1x 3.5mm Combo Audio Jack  1x DC-in
Văn phòng,laptop-asus-vivobook-s-15-s5507qa-ma092ws-copilot-x-plus,Laptop ASUS Vivobook S 15 S5507QA-MA092WS Copilot+ X Plus,23990000,73,52,asus,vivobook,5.0,"Màn hình 15.6 inch 3K OLED, cho hình ảnh sống động và chi tiết. Trang bị vi xử lý Copilot+ X PLUS X1P mạnh mẽ, giúp xử lý mượt mà các tác vụ nặng. RAM 16GB đảm bảo khả năng đa nhiệm hiệu quả, phù hợp cho cả công việc và giải trí. Ổ cứng SSD 512GB PCIe cung cấp không gian lưu trữ rộng rãi và tốc độ truy xuất nhanh chóng. Thiết kế màu bạc tinh tế, thanh lịch, dễ dàng mang theo trong mọi tình huống.",Bạc,2024,Nhật Bản,Qualcomm Adreno GPU,Snapdragon X Plus X1P 42 100 up to 3.4GHz,16GB,LPDDR5X Onboard,16GB LPDDR5X Onboard,512GB M.2 NVMe PCIe 4.0 SSD,512GB,120Hz,Tấm nền Oled,15.6 inches,Thời gian phản hồi 0.2ms Độ sáng tối đa 600nits HDRĐộ phủ màu 100% DCI-P31.07 tỷ màuDisplay HDR True Black 600TÜV Rheinland-certifiedSGS Eye Care DisplayGiảm 70% ánh sáng xanh có hại,2880 x 1620 pixels,Công nghệ Smart Amp Loa tích hợp Micrô mảng tích hợp harman/kardon (Chính thống),Vỏ kim loại,35.26 x 22.69 x 1.47 ~ 1.59 cm (W x H x D),1.42 kg,"Nhận diện khuôn mặt, Màn hình Oled, Wi-Fi 7",Bàn phím Chiclet có đèn nền RGB 1 vùng với phím số với phím Copilot,Camera hồng ngoại hỗ trợ Windows Hello BIOS Booting User Password Protection BIOS setup user password Microsoft Pluton security processor Trusted Platform Module (Firmware TPM),,Windows 11 Home,"70WHrs, 3S1P, 3-cell Li-ion",Wi-Fi 7(802.11be) (Tri-band)2*2,Bluetooth 5.4,2x USB 3.2 Gen 1 Type-A 2x USB 4.0 Gen 3 Type-C (display / Sạc) 1x HDMI 2.1 TMDS 1x 3.5mm Combo Audio Jack Đầu đọc thẻ Micro SD
Văn phòng,laptop-asus-vivobook-15-x1504za-nj1039w,Laptop ASUS Vivobook 15 X1504ZA-NJ1039W,15990000,4,2,asus,vivobook,0.0,"Trang bị bộ vi xử lý Intel Core i7-1255U, mang lại hiệu năng mạnh mẽ cho các tác vụ đa nhiệm và xử lý công việc phức tạp. Máy có bộ nhớ RAM 16GB, đảm bảo khả năng chạy mượt mà nhiều ứng dụng cùng lúc và xử lý dữ liệu lớn một cách nhanh chóng. Ổ cứng SSD PCIe 512GB cung cấp không gian lưu trữ rộng rãi và tốc độ truy xuất dữ liệu nhanh, giúp khởi động máy và mở ứng dụng trong tích tắc. Màn hình 15.6 inch độ phân giải Full HD cho trải nghiệm hình ảnh sắc nét và sống động, phù hợp cho cả công việc và giải trí. Thiết kế màu bạc sang trọng và tinh tế, phù hợp với môi trường làm việc chuyên nghiệp cũng như sử dụng cá nhân hàng ngày.",Bạc,2021,Trung Quốc,Intel Iris Xe Graphics,"Intel Core i7-1255U 1.7 GHz (12M Cache, up to 4.7 GHz, 10 lõi)",16GB,DDR4,16GB DDR4 2 khe (8GB DDR4 Onboard + 8GB DDR4 SO-DIMM),512GB M.2 NVMe PCIe 4.0 SSD,512GB,60 Hz,Tấm nền TN,15.6 inches,Độ sáng 250nitsĐộ phủ màu 45% NTSCTÜV Rheinland-certifiedMàn hình chống chói,1920 x 1080 pixels (FullHD),SonicMaster Loa tích hợp Micrô mảng tích hợp,Vỏ nhựa,35.97 x 23.25 x 1.79 ~ 1.79 cm (W x H x D),1.70 kg,"Wi-Fi 6, Bảo mật vân tay",,McAfee dùng thử miễn phí 30 ngày Cảm biến vân tay tích hợp với Touchpad McAfee BIOS Booting User Password Protection BIOS setup user password Trusted Platform Module (Firmware TPM),,Windows 11 Home,"42WHrs, 3S1P, 3-cell Li-ion",Wi-Fi 6E(802.11ax) (Dual band) 1*1,Bluetooth 5.3,1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C 2x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in
Văn phòng,laptop-asus-vivobook-14-oled-a1405za-km264w,Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W,15990000,69,52,asus,vivobook,3.6,"Sự lựa chọn hoàn hảo cho người dùng cần một chiếc laptop mạnh mẽ, màn hình đẹp và thiết kế sang trọng. Trải nghiệm hiệu năng vượt trội với bộ vi xử lý Intel Core i5-12500H, RAM 16GB và ổ cứng SSD 512GB PCIe, xử lý mượt mà mọi tác vụ từ văn phòng đến giải trí. Màn hình OLED 14 inch 2.8K cho hình ảnh sắc nét, màu sắc sống động, độ tương phản cao, mang đến trải nghiệm xem phim, chơi game tuyệt vời. Thiết kế mỏng nhẹ, màu bạc sang trọng, thuận tiện mang theo bên mình mọi lúc mọi nơi. Laptop được cài đặt sẵn hệ điều hành Windows 11 bản quyền, cho trải nghiệm sử dụng mượt mà và an toàn ngay từ lần khởi động đầu tiên.",Bạc,2022,Nhật Bản,Intel Iris Xe Graphics,"Intel Core i5-12500H 2.5 GHz (18M Cache, up to 4.5 GHz, 4P+8E lõi)",16GB,DDR4,16GB DDR4 8GB DDR4 on board + 8GB DDR4 SO-DIMM,512GB M.2 NVMe PCIe 3.0 SSD,512GB,90 Hz,Tấm nền Oled,14 inches,Tỷ lệ 16:10  Thời gian phản hồi 0.2 ms  Độ sáng tối đa 600nits HDR  Độ phủ màu 100% DCI-P3HDR True Black 6001.07 tỷ màuGiảm ánh sáng xanhSGS Eye Care DisplayGamut mappingPantone,2880 x 1800 pixels,Hệ thống âm thanh SonicMaster,Vỏ nhựa,31.71 x 22.20 x 1.99 ~ 1.99 cm (W x H x D),1.6 kg,"Wi-Fi 6, Bảo mật vân tay, Màn hình Oled",,Cảm biến vân tay tích hợp Touchpad  Tích hợp bảo mật mật khẩu BIOS Administrator và mật khẩu người dùng  Mô-đun nền tảng đáng tin cậy (Firmware TPM),,Windows 11 Home,"50WHrs, 3S1P, 3-cell Li-ion",Wi-Fi 6(802.11ax) (Dual band) 2*2,Bluetooth 5.3,1x USB 2.0 Type-A  1x USB 3.2 Gen 1 Type-C  2x USB 3.2 Gen 1 Type-A  1x HDMI 1.4  1x Jack cắm tai nghe  1x DC-in
Văn phòng,laptop-asus-vivobook-14-oled-a1405va-km095w,Laptop ASUS VivoBook 14 OLED A1405VA-KM095W,17390000,19,34,asus,vivobook,4.3,"Sở hữu thiết kế gọn nhẹ cùng tông màu bạc sang trọng, chắc hẳn là một sản phẩm được mọi người yêu thích Màn hình 14 inch đi kèm với độ phủ màu 100% DCI-P3 chắc hẳn sẽ đem lại trải nghiệm tuyệt vời về hình ảnh, video Trang bị CPU Intel Core i5-13500H giúp bạn xử lý được các tác vụ văn phòng, giải trí và chỉnh sửa hình ảnh nhẹ trên PTS Ổ cứng SSD 512GB giúp bạn có được không gian lưu trữ dữ liệu rộng lớn",Bạc,2024,Nhật Bản,Intel Iris Xe Graphics,"Intel Core i5-13500H (18MB Cache, upto 4.7GHz, 12 lõi / 16 luồng)",16GB,8GB DDR4 on board + 8GB DDR4 SO-DIMM,16GB 8GB DDR4 on board + 8GB DDR4 SO-DIMM,512GB M.2 NVM PCIe 3.0 SSD,512GB,90Hz,Tấm nền OLED/AMOLED,14 inches,"Thời gian phản hồi 0,2ms Độ sáng tối đa 600nits HDR Độ phủ màu 100% DCI-P3",2880 x 1800 pixels,Hệ thống âm thanh SonicMaster,Vỏ nhựa,31.71 x 22.20 x 1.99 ~ 1.99 cm (W x H x D),1.6 kg,"Wi-Fi 6, Màn hình Oled",,,,Windows 11 Home,"50WHrs, 3-cell Li-ion",Wi-Fi 6E(802.11ax) (Dual band) 1x1,Bluetooth 5,1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C 2x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x Jack cắm tai nghe
Văn phòng,laptop-asus-vivobook-15-x1504va-nj070w,Laptop ASUS VivoBook 15 X1504VA-NJ070W,15390000,73,98,asus,vivobook,1.4,"Màn hình 15.6 inch Full HD cho hình ảnh sắc nét, màu sắc chính xác Bộ vi xử lý Intel Core i5 1335U mạnh mẽ chạy đa tác vụ mượt mà Card tích hợp Intel Iris Xe Graphics giúp cải thiện hiệu suất xử lý đồ họa cũng như chơi game cơ bản RAM 16 GB DDR4 cung cấp khả năng đa nhiệm trơn tru với tốc độ truyền dữ liệu nhanh Ổ cứng SSD 512 GB giúp máy khởi động, tải ứng dụng và tập tin ngay tức thì",Xanh,2022,Trung Quốc,Intel Iris Xe Graphics,"Intel Core i5-1335U (12MB Cache, 1.3 GHz up to 4.6 GHz, 10 lõi / 12 luồng)",16GB,DDR4,16GB DDR4 2 khe (8GB Onboard + 8GB SO-DIMM),512GB M.2 NVMe PCIe 3.0 SSD,512GB,60 Hz,Tấm nền IPS,15.6 inches,Độ sáng 250nitsĐộ phủ màu 45% NTSCMàn hình chống chóiTÜV Rheinland-certifiedTỉ lệ 16:9,1920 x 1080 pixels (FullHD),SonicMaster Loa tích hợp Micrô mảng tích hợp,Vỏ nhựa,35.97 x 23.25 x 1.79 ~ 1.79 cm (W x H x D),1.70 kg,"Wi-Fi 6, Bảo mật vân tay",,McAfee LiveSafe 30 ngày dùng thử miễn phí  Cảm biến vân tay tích hợp với Touchpad McAfee LiveSafe Khởi động BIOS bảo vệ mật khẩu người dùng Mật khẩu người dùng thiết lập BIOS Mô-đun nền tảng đáng tin cậy (Firmware TPM),,Windows 11 Home,"42WHrs, 3S1P, 3-cell Li-ion",Wi-Fi 6E (802.11ax) (Dual band) 2*2,Bluetooth 5,1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C 2x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x DC-in
Văn phòng,laptop-asus-vivoboook-s-14-oled-s5406ma-pp046ws,Laptop ASUS Vivobook S 14 OLED S5406MA-PP046WS,23990000,16,40,asus,vivobook,0.0,"Trải nghiệm hình ảnh sống động, sắc nét với màn hình OLED 3K, mang đến màu sắc chân thực và độ tương phản cao. Vi xử lý Intel Core U5-125H, RAM 16GB và ổ cứng SSD 512GB PCIe đảm bảo hiệu suất mượt mà cho mọi tác vụ. Thiết kế mỏng nhẹ dễ dàng mang theo bên mình, phù hợp cho công việc và giải trí mọi lúc mọi nơi. Được cài đặt sẵn Windows 11 và Office, bạn có thể sử dụng ngay sau khi mua, sẵn sàng cho mọi công việc và giải trí.",Xanh,2023,Đài Loan,Intel Arc Graphics,"Intel Core Ultra 5 125H 1.2 GHz (18MB Cache, up to 4.5 GHz, 14 cores, 18 Threads)",16GB,LPDDR5X Onboard,16GB LPDDR5X Onboard,512GB M.2 NVMe PCIe 4.0 SSD,512GB,120Hz,Tấm nền Oled,14 inches,Độ sáng 400nits Độ sáng tối đa 600nits HDR Độ phủ màu 100% DCI-P3 VESA CERTIFIED Display HDR True Black 600 1.07 tỷ màu Ánh sáng xanh ít gây hại hơn 70%,2880 x 1800 pixels,Công nghệ Smart Amp Loa tích hợp Micrô tích hợp Micrô mảng tích hợp harman/kardon (Chính thống),Vỏ kim loại,31.05 x 22.19 x 1.39 ~ 1.59 cm (W x H x D),1.30 kg,"Wi-Fi 6, Nhận diện khuôn mặt, Màn hình Oled",Bàn phím Chiclet có đèn nền RGB 1 vùng không có phím số  Có phím Copilot,McAfee dùng thử miễn phí 30 ngày Webcam IR hỗ trợ Windows Hello McAfee Mật khẩu người dùng thiết lập BIOS Mô-đun nền tảng đáng tin cậy (Phần mềm TPM),,Windows 11 Home,"75WHrs, 4S1P, 4-cell Li-ion",Wi-Fi 6E(802.11ax) (Dual band) 2*2,Bluetooth 5.3,2x USB 3.2 Gen 1 Type-A 2x Thunderbolt 4 (display / power delivery) 1x HDMI 2.1 TMDS 1x 3.5mm Combo Audio Jack Đầu đọc thẻ Micro SD
Văn phòng,laptop-msi-modern-15-b7m-238vn,Laptop MSI Modern 15 B7M-238VN,12990000,53,89,msi,modern,2.6,"Trang bị màn hình viền siêu mỏng, trọng lượng chị 1.75kg thích hợp mang theo bên mình CPU R7 7730U giúp bạn dễ dàng xử lý tốt các tác vụ văn phòng cùng chỉnh ảnh nhẹ Màn hình 15.6 inch Full HD giúp chất lượng hình ảnh hiển thị tốt và chân thật Trang bị nhiều cổng kết nối giúp quá trình xuất/nhập dữ liệu trở nên dễ dàng, nhanh chóng RAM 16GB cùng ổ cứng SSD 512GB giúp lưu trữ dữ liệu tốt nhưng không bị lag trong quá trình sử dụng",Đen,2021,Nhật Bản,AMD Radeon Graphics,"AMD Ryzen 7 7730U  (2.0 GHz up to 4.3 GHz, 8 lõi / 16 luồng, 24 MB)",16GB,DDR4 3200 MHz Onboard,16GB DDR4 3200 MHz Onboard,512 GB SSD,512GB,60 Hz,Tấm nền IPS,15.6 inches,Độ phủ màu 45% NTSC,1920 x 1080 pixels (FullHD),Hi-Res Audio,Vỏ nhựa,359 x 241 x 19.9 mm,1.75 kg,Wi-Fi 6,Single LED - Trắng,Mở khóa bằng mật mã,,Windows 11 Home,39.3Whr 3 Cell,Wifi 6E 802.11ax,Bluetooth 5.2,1 x HDMI 1 x Jack 3.5 mm 1 x Type C 1 x USB 3.2 2 x USB 2.0
Văn phòng,laptop-acer-aspire-5-spin-14-a5sp14-51mtn-78jh,Laptop Acer Aspire 5 Spin 14 A5SP14-51MTN-78JH,16990000,70,77,acer,aspire,2.9,"Sở hữu thiết kế tối giản vỏ xám sang trọng, cùng trọng lượng gọn nhẹ chỉ 1.6 kg cho phép bạn mang theo bất kỳ đâu. Intel Core i7-1355U xử lý nhanh các tác vụ văn phòng, hay giải trí, xem phim mượt mà. RAM 16GB đa nhiệm, mở nhiều tab trình duyệt không gặp phải tình trạng giật lag. Ổ cứng SSD 512GB giúp cho việc khởi động máy, ứng dụng được nhanh chóng. Màn hình cảm ứng 14 inch Full HD+ thoải mái sáng tạo ngay trên chiếc màn hình máy.",Xám,2022,Trung Quốc,Intel Iris Xe Graphics,"Intel Core i7-1355U (3.7 Ghz, up to 5.0 GHz, 24MB cache)",16GB,LPDDR5 5200Mhz,"16GB LPDDR5 5200Mhz 1 khe Onboard, Không nâng cấp",512GB PCIe NVMe SSD,512GB,60 Hz,Tấm nền IPS,14 inches,Màn hình LCD TFT có đèn nền LED Acer ComfyView hỗ trợ giải pháp cảm ứng đa điểm và bút AES Độ sáng 250nits Độ phủ màu 45% NTSC,1920 x 1200 pixels (FullHD+),Công nghệ Acer PurifiedGiảm tiếng ồn AIHai loa âm thanh nổi tích hợp,,318.2 x 225.5 x 17.99 mm (W x D x H),1.6 kg,"Wi-Fi 6, Màn hình cảm ứng, Xoay gập 360 độ (2 in 1)",,"BIOS user, supervisor passwords, Kensington lock slot",,Win 11 Home,50Wh Li-ion battery,"Wi-Fi 6E, 802.11a/b/g/n/ac/ax",Bluetooth 5,1x USB Type-C2x USB-A1x HDMI 2.11x 3.5 mm headphone/speaker jack1x DC-in jack for AC adapter
Văn phòng,laptop-lenovo-thinkbook-16-g6-irl-21kh00q0vn,Laptop Lenovo ThinkBook 16 G6 IRL 21KH00Q0VN,17990000,6,18,lenovo,thinkbook,1.0,"Sức mạnh của máy đến từ vi xử lý Intel Core i5-13420H thế hệ 13, kết hợp cùng 16GB RAM và ổ cứng SSD 512GB cho khả năng xử lý mượt mà mọi tác vụ. Màn hình 16 inch độ phân giải WUXGA mang đến không gian hiển thị rộng rãi, sắc nét, đáp ứng tốt nhu cầu làm việc lẫn giải trí. Thiết kế của ThinkBook 16 G6 toát lên vẻ sang trọng, hiện đại nhưng vẫn đảm bảo độ bền bỉ cần thiết. Máy được cài sẵn hệ điều hành Windows 11 bản quyền.",Xám,2022,Hàn Quốc,Intel UHD Graphics,"Intel Core i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB",16GB,DDR5-5200,16GB DDR5-5200 2x 8GB O-DIMM (nâng cấp tối đa 64GB DDR5-5200),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, SSD 2x M.2, nâng cấp tối đa 2TB)",512GB,,Tấm nền IPS,16 inches,Độ sáng 300nits  Màn hình chống chói Độ phủ màu 45% NTSC,1920 x 1200 pixels (WUXGA),"Âm thanh độ phân giải cao (HD) codec Realtek ALC3287 Loa âm thanh nổi, 2W x2 Dolby Audio",Vỏ nhựa - nắp lưng kim loại,356 x 253.5 x 17.5 mm (W x D x H),1.7 kg,"Wi-Fi 6, Bảo mật vân tay, Nhận diện khuôn mặt",,"Firmware TPM 2.0 Enabled Khe bảo mật Kensington Nano, 2,5 x 6 mm",,Windows 11 Home,71Wh,"Wi-Fi 6E, 11ax 2x2",Bluetooth 5.3,"2x USB 3.2 Gen 1  1x USB-C 3.2 Gen 2 (Truyền dữ liệu, Power Delivery 3.0, DisplayPort 1.4) 1x Thunderbolt 4 / USB4 40Gbps 1x HDMI 2.1, up to 4K/60Hz 1x Headphone / microphone combo jack 1x Ethernet (RJ-45) 1x SD card reader"
Văn phòng,laptop-msi-modern-14-c13m-607vn,Laptop MSI Modern 14 C13M-607VN,14990000,83,92,msi,modern,4.1,"Mang vẻ ngoài sang trọng cùng thiết kế gọn nhẹ, trọng lượng chỉ 1.4kg chắc hẳn là trợ thủ đắc lực luôn luôn đi theo bên bạn CPU I7-1355U cùng card đồ họa Intel UHD chắc hẳn sẽ giúp bạn giải quyết ổn thỏa các tác vụ văn phòng Ổ cứng SSD 512GB cùng RAM 16GB mang lại không gian lưu trữ rộng lớn cùng tốc độ truy cập nhanh chóng Đa dạng cổng kết nối đem lại sự thuận tiện trong việc truyền và xuất dữ liệu: Cổng Type C, USB 2.0, USB 3.2, HDMI,...",Đen,2021,Đài Loan,Intel Iris Xe Graphics,"I7-1355U (12MB Cache, up to 5.0 GHz, 10 lõi / luồng)",16GB,DDR4 3200 MHz,16GB DDR4 3200 MHz RAM 16GB onboardKhông hỗ trợ nâng cấp,512GB M.2 NVMe,512GB,60Hz,Tấm nền IPS,14 inches,Công nghệ màn hình FHDĐộ sáng 300 nitsĐộ phủ màu 45% NTSC,1920 x 1080 pixels (FullHD),HD Audio,Vỏ nhựa,320 x 223 x 19.5 mm (Dài x Rộng X Cao),1.4 kg,Wi-Fi 6,Đèn LED màu trắng,,,Windows 11 Home,"3 cell, 39.3Whr",Wi-Fi 6 802.11ax,Bluetooth v5.2,1x Card reader 1x Giắc cắm DC 1x HDMI 1x Type C 1x USB 3.2 2x USB 2.0
Văn phòng,laptop-asus-vivobook-15-oled-a1505va-ma492w,Laptop ASUS Vivobook 15 OLED A1505VA-MA492W,20190000,45,64,asus,vivobook,4.5,"Chip Intel Core i7-13700H, RAM 16GB, SSD 512GB PCIe cho khả năng xử lý mượt mà mọi tác vụ, từ công việc, học tập đến giải trí, chơi game. Màn hình OLED 15.6 inch, độ phân giải 2.8K cung cấp trải nghiệm hình ảnh tuyệt đẹp với màu sắc sống động, chi tiết sắc nét và độ tương phản hoàn hảo. Vẫn giữ thiết kế mỏng nhẹ, hiện đại, phiên bản này toát lên vẻ sang trọng với lớp vỏ màu bạc tinh tế. Cài đặt sẵn Windows 11 bản quyền, mang đến giao diện hiện đại, nhiều tính năng mới mẻ và khả năng bảo mật tối ưu. Với cấu hình mạnh mẽ, màn hình đẹp và thiết kế sang trọng, là sự lựa chọn hoàn hảo cho người dùng cần một chiếc laptop đa năng, đáp ứng mọi nhu cầu từ công việc đến giải trí.",Bạc,2024,Đài Loan,Intel Iris Xe Graphics,"Intel Core i7-13700H 2.4 GHz (24MB Cache, up to 5.0 GHz, 14 lõi, 20 luồng)",16GB,DDR4,16GB DDR4 8GB DDR4 on board + 8GB DDR4 SO-DIMM,512GB M.2 NVMe PCIe 4.0 SSD,512GB,120 Hz,Tấm nền Oled,15.6 inches,Tỷ lệ 16:9  Thời gian phản hồi 0.2 ms  Độ sáng tối đa 600nits HDR  Độ phủ màu 100% DCI-P3  HDR True Black 600  1.07 tỷ màu  Giảm ánh sáng xanh  SGS Eye Care Display  Gamut mapping  Pantone,2880 x 1620 pixels,Hệ thống âm thanh SonicMaster,Vỏ nhựa,35.68 x 22.76 x 1.99 ~ 1.99 cm (W x H x D),1.7 kg,"Wi-Fi 6, Bảo mật vân tay, Màn hình Oled",,McAfee LiveSafe 30 ngày dùng thử miễn phí  Tích hợp bảo mật mật khẩu BIOS Administrator và mật khẩu người dùng  Mô-đun nền tảng đáng tin cậy (Firmware TPM),,Windows 11 Home,"50WHrs, 3S1P, 3-cell Li-ion",Wi-Fi 6E(802.11ax) (Dual band) 1*1,Bluetooth 5.3,1x USB 2.0 Type-A  1x USB 3.2 Gen 1 Type-C  2x USB 3.2 Gen 1 Type-A  1x HDMI 1.4  1x 3.5mm Combo Audio Jack  1x DC-in
Văn phòng,laptop-acer-aspire-3-a314-42p-r3b3,Laptop Acer Aspire 3 A314-42P-R3B3 NX.KSFSV.001,11990000,61,48,acer,aspire,0.0,"Được trang bị bộ vi xử lý AMD Ryzen 7 5700U, Acer Aspire 3 mang đến hiệu suất mượt mà cho công việc và giải trí. RAM 16GB DDR4 đảm bảo khả năng chạy đa nhiệm mượt mà, chuyển đổi giữa các ứng dụng nhanh chóng. Ổ cứng SSD 512GB PCIe NVMe mang đến không gian lưu trữ rộng rãi và tốc độ truy xuất dữ liệu cực nhanh. Thiết kế với lớp vỏ màu bạc sang trọng, Acer Aspire 3 là sự lựa chọn hoàn hảo cho phong cách hiện đại.",Bạc,2022,Singapore,AMD Radeon™ Graphics,"AMD Ryzen 7 5700U (8 nhân/16 luồng, xung nhịp tối đa 4.30 GHz, 8MB)",16GB,LPDDR4X Onboard,16GB LPDDR4X Onboard Không hỗ trợ nâng cấp,512GB PCIe Gen4 NVMe (nâng cấp tối đa 1 TB PCIe Gen3),512GB,60Hz,Tấm nền IPS,14 inches,45% NTSCLED BacklitAcer ComfyView,1920 x 1200 pixels (FullHD+),Acer Purified Voice,Vỏ nhựa,318.2 (W) x 225.5 (D) x 17.8 (H) mm,1.4 kg,,,,,Windows 11,3 cell 50 Wh,Wi-Fi 6 (802.11ax),v5.1,1 x USB Type-C2 x USB-A 11 x HDMI® hỗ trợ HDCP1 x Jack tai nghe 3.5 mm
Văn phòng,laptop-lenovo-ideapad-slim-3-14iah8-83eq0009vn,Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0009VN,14890000,29,75,lenovo,ideapad,4.1,"Trọng lượng cực nhẹ chỉ 1.37 kg, dễ dàng bỏ vào balo và mang theo bất cứ đâu. CPU Intel Core i5-12450H xử lý từ những tác vụ văn phòng đơn giản tới những công việc thiết kế đồ họa đơn giản. 16GB RAM đa nhiệm, làm việc đồng thời với nhiều ứng dụng mà không cần quá lo lắng về hiện tượng tràn RAM hay giật Lag. Ổ cứng SSD 1TB cung cấp khoảng trống lưu trữ lớn, cho tốc độ đọc ghi cực ấn tượng. Màn hình 14 inch Full HD đảm bảo hiển thị hình ảnh có độ sắc nét cao tới từng chi tiết.",Xám,2022,Nhật Bản,Intel UHD Graphics,"Intel Core i5-12450H (8 lõi (4P + 4E) / 12 luồng, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB)",16GB,LPDDR5-4800 Onboard,16GB LPDDR5-4800 Onboard Không hỗ trợ nâng cấp,1TB SSD M.2 2242 PCIe 4.0x4 NVMe,1TB,,Tấm nền IPS,14 inches,Màn hình chống chóiĐộ sáng 300nits,1920 x 1080 pixels (FullHD),High Definition (HD) AudioLoa âm thanh nổi1.5W x2Dolby Audio,Vỏ nhựa,324.3 x 213.8 x 17.9 mm (W x D x H),1.37 kg,"Wi-Fi 6, Bảo mật vân tay",,Firmware TPM 2.0,,Windows 11 Home Single Language,47Wh,"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,"1x Đầu đọc thẻ1x HDMI 1.41x Headphone / microphone combo jack (3.5mm)1x Đầu nối nguồn1x USB-C 3.2 Gen 1 (Truyền dữ liệu, sạc, Display Port 1.2)2x USB 3.2 Gen 1"
